in_brazil,distance_from_border,deforestation
FALSE,-2.73258286702635,14.3063712117769
FALSE,-6.9046026306304,45.7036376164463
FALSE,-7.10399359858427,53.7956795247152
FALSE,-2.90619515880005,-0.0684332439326987
TRUE,9.26569660644885,90.0287061164771
FALSE,-8.28943974856381,63.150145910769
TRUE,7.46809248168234,79.672888676339
FALSE,-4.05777442295314,24.6075700301839
TRUE,6.35677982035137,76.3918883349303
FALSE,-8.10216446842794,54.7933063164171
TRUE,0.645026216195204,74.54763534368
TRUE,1.33975675893636,68.3680736798197
TRUE,8.79157101388093,82.2092147620895
TRUE,6.94884237015358,77.5452641441375
TRUE,3.73979951538022,67.460465681943
TRUE,1.36538938323439,70.9522170038012
FALSE,-7.60922781734154,50.8343094960754
FALSE,-7.69883452093345,56.7869929496644
FALSE,-9.79548429987956,77.2467191354119
TRUE,5.59813518803221,75.5236967516899
TRUE,3.52710782150712,69.0272668341394
FALSE,-7.79015211445369,54.6411599590475
TRUE,8.02808843734919,89.0155869693038
FALSE,-2.01884403420086,9.35665306665076
FALSE,-1.30383983325809,-0.853107665145192
FALSE,-1.72543266298041,0.96904719701604
TRUE,8.05378938407006,83.8949549875522
TRUE,3.22943234190484,65.6603902747211
TRUE,0.396392326638978,64.003790839619
TRUE,3.46727492024322,69.8374107305508
TRUE,4.88205384528129,66.5715570714147
FALSE,-2.71560588017817,6.08232800667135
FALSE,-6.27366559630782,37.4482391243849
FALSE,-8.60746990662422,58.5513690430863
TRUE,1.69430153510547,65.2409499420904
TRUE,7.57878093144157,80.18485592993
FALSE,-6.04935049073134,39.5552583200518
FALSE,-7.01622847011076,38.7313398766037
FALSE,-0.591997203825191,-4.4039456525465
TRUE,4.99801209568586,63.076669775888
TRUE,0.901837194992438,64.3247962688189
TRUE,5.37942926867611,79.1429237834143
FALSE,-1.22611727134056,0.360367568071634
TRUE,1.91043797620356,76.123548766326
TRUE,9.35302708590654,94.0555171460888
FALSE,-4.27260139381434,15.6748695986496
TRUE,7.52373504021105,76.4490044920944
TRUE,0.332626044403759,68.053422919472
TRUE,6.08804414063349,78.0572735420231
TRUE,2.63029539880832,68.1246582615756
TRUE,2.427605616902,68.8570870590142
FALSE,-1.91834236345443,1.89306212460953
FALSE,-7.03949220811013,29.9949024543977
TRUE,7.89032061662047,89.3685027760214
TRUE,1.723639953425,77.75729796375
FALSE,-3.75475720520801,13.5615516404731
FALSE,-6.71954481977603,46.372530498213
FALSE,-5.23252840741835,32.5581836802526
TRUE,0.304562653109303,79.6600367359746
TRUE,1.93229541017851,69.042548568694
TRUE,1.96093831872315,74.6226768430295
TRUE,4.16399171829675,69.807486174695
TRUE,6.63311424436874,82.8911779706888
TRUE,6.20825317057454,77.377125111545
FALSE,-6.53484814723638,44.017664359457
FALSE,-2.65921634971876,5.42216600007511
