country,period,treated,deforestation
BOL,after,FALSE,44.2601190056501
BOL,after,FALSE,50.6029233331632
BOL,after,FALSE,3.26613763561269
BOL,after,FALSE,57.72590728246
BOL,after,FALSE,68.0105204732249
BOL,after,FALSE,62.3386372541338
BOL,after,FALSE,65.7851652807171
BOL,after,FALSE,75.0983849471704
BOL,after,FALSE,39.1071263077289
BOL,after,FALSE,55.0749216325028
BOL,after,FALSE,54.4495647597169
BOL,after,FALSE,15.8033804266898
BOL,after,FALSE,71.6364875191858
BOL,after,FALSE,72.5879580833563
BOL,after,FALSE,84.9755270209713
BOL,after,FALSE,32.817559408461
BOL,after,FALSE,15.2669128527583
BOL,after,FALSE,30.7991972133454
BOL,after,FALSE,34.8784923042457
BOL,after,FALSE,78.2074172229292
BOL,after,FALSE,49.2772915050251
BOL,after,FALSE,71.5854021064292
BOL,after,FALSE,83.9484877305313
BOL,after,FALSE,74.4796163343404
BOL,after,FALSE,32.8792746184455
BOL,after,FALSE,34.4872966114107
BOL,after,FALSE,43.4070479591519
BOL,after,FALSE,51.8787256491536
BOL,after,FALSE,65.5766430219858
BOL,after,FALSE,63.047211231828
BOL,after,FALSE,79.8577122678063
BOL,after,FALSE,74.5116355965985
BOL,after,FALSE,84.8568838653814
BOL,after,FALSE,60.221465094506
BOL,after,FALSE,72.0116679006797
BOL,after,FALSE,65.8522676284601
BOL,after,FALSE,57.3652490412333
BOL,after,FALSE,77.4926930982777
BOL,after,FALSE,66.6075579169686
BOL,after,FALSE,57.5279379527487
BOL,after,FALSE,59.0099697283645
BOL,after,FALSE,45.5335301130311
BOL,after,FALSE,75.0375605238895
BOL,after,FALSE,45.1674380590349
BOL,after,FALSE,98.3054328932027
BOL,after,FALSE,51.3261536756696
BOL,after,FALSE,59.0624938304786
BOL,after,FALSE,50.5183735694016
BOL,after,FALSE,56.2589462820608
BOL,after,FALSE,71.7697242341434
BOL,after,FALSE,91.0872955205182
BOL,after,FALSE,15.3652717448579
BOL,after,FALSE,60.1722765079285
BOL,after,FALSE,16.8210151815152
BOL,after,FALSE,27.5897095545593
BOL,after,FALSE,26.356119915255
BOL,after,FALSE,69.5076949239468
BOL,after,FALSE,59.7098785910001
BOL,after,FALSE,73.7660690837363
BOL,after,FALSE,73.682463409322
BOL,after,FALSE,69.2615230443022
BOL,after,FALSE,26.7097646165532
BOL,after,FALSE,80.5166137753223
BOL,after,FALSE,45.9180599045197
BOL,after,FALSE,40.4429380238186
BOL,after,FALSE,36.0188640617732
BOL,after,FALSE,54.5048535796925
BOL,after,FALSE,29.7319352886107
BOL,after,FALSE,69.520209024851
BOL,after,FALSE,39.0061236781382
BOL,after,FALSE,37.9352458829829
BOL,after,FALSE,6.71174100719059
BOL,after,FALSE,57.3737709879521
BOL,after,FALSE,59.6495678255654
BOL,after,FALSE,19.4413102680073
BOL,after,FALSE,58.9235691723336
BOL,after,FALSE,57.105894611339
BOL,after,FALSE,31.8619592469407
BOL,after,FALSE,108.283308151204
BOL,after,FALSE,84.9637028065751
BOL,after,FALSE,18.3360815277609
BOL,after,FALSE,113.131801249715
BOL,after,FALSE,79.124019974285
BOL,after,FALSE,48.102259067167
BOL,after,FALSE,40.5957095570952
BOL,after,FALSE,46.8133052154898
BOL,after,FALSE,9.7781555753868
BOL,after,FALSE,67.9923053026107
BOL,after,FALSE,47.806155809772
BOL,after,FALSE,54.8376480453389
BOL,after,FALSE,62.3596682687557
BOL,after,FALSE,53.5626321749877
BOL,after,FALSE,106.197227964007
BOL,after,FALSE,40.7586436453219
BOL,after,FALSE,56.2656155250457
BOL,after,FALSE,60.9263561073837
BOL,after,FALSE,73.8829303578816
BOL,after,FALSE,42.7736622801479
BOL,after,FALSE,35.6591375388653
BOL,after,FALSE,59.3068712923512
BOL,after,FALSE,41.0777239180423
BOL,after,FALSE,49.329055379359
BOL,after,FALSE,6.26617125927181
BOL,after,FALSE,19.4506914840946
BOL,after,FALSE,40.1157045477083
BOL,after,FALSE,32.4278015583762
BOL,after,FALSE,125.058016140856
BOL,after,FALSE,63.3989353250508
BOL,after,FALSE,73.1465155914571
BOL,after,FALSE,48.5361306473738
BOL,after,FALSE,40.5026822432462
BOL,after,FALSE,57.5491841885026
BOL,after,FALSE,58.6905574376647
BOL,after,FALSE,73.2665493647351
BOL,after,FALSE,73.258412713579
BOL,after,FALSE,87.6498242112218
BOL,after,FALSE,52.1907368010551
BOL,after,FALSE,35.7732759202742
BOL,after,FALSE,35.6520816270098
BOL,after,FALSE,67.6388513480505
BOL,after,FALSE,63.2533920866845
BOL,after,FALSE,64.201425292196
BOL,after,FALSE,71.1625050377469
BOL,after,FALSE,134.991898603166
BOL,after,FALSE,81.0496401020728
BOL,after,FALSE,54.3812478497148
BOL,after,FALSE,33.2041862692712
BOL,after,FALSE,21.7482830229127
BOL,after,FALSE,110.258297675078
BOL,after,FALSE,101.344609203242
BOL,after,FALSE,93.5496720938455
BOL,after,FALSE,62.2208466094414
BOL,after,FALSE,1.17109551142268
BOL,after,FALSE,54.9966468221002
BOL,after,FALSE,49.0527988078691
BOL,after,FALSE,89.4910081014955
BOL,after,FALSE,64.6389579090455
BOL,after,FALSE,76.0203069258721
BOL,after,FALSE,63.58074955888
BOL,after,FALSE,48.312140444858
BOL,after,FALSE,61.9047306584576
BOL,after,FALSE,27.1374139842343
BOL,after,FALSE,6.52300113966527
BOL,after,FALSE,84.3326802898336
BOL,after,FALSE,44.2786916202215
BOL,after,FALSE,22.6089948361039
BOL,after,FALSE,66.8188810339488
BOL,after,FALSE,38.1498974002134
BOL,after,FALSE,45.3356839675996
BOL,after,FALSE,90.3748257547749
BOL,after,FALSE,45.5001106519678
BOL,after,FALSE,76.637567775571
BOL,after,FALSE,31.6763118389809
BOL,after,FALSE,48.9432847515496
BOL,after,FALSE,36.3138129168135
BOL,after,FALSE,22.652352391001
BOL,after,FALSE,97.4047605572809
BOL,after,FALSE,55.7979429419108
BOL,after,FALSE,68.0630171832477
BOL,after,FALSE,49.1946127783968
BOL,after,FALSE,48.5526494842705
BOL,after,FALSE,55.9424220745902
BOL,after,FALSE,87.6597335776142
BOL,after,FALSE,93.7436117560685
BOL,after,FALSE,62.9703058056278
BOL,after,FALSE,36.9130402798821
BOL,after,FALSE,41.9964610522469
BOL,after,FALSE,66.283173045333
BOL,after,FALSE,84.3786251610757
BOL,after,FALSE,40.9073896447881
BOL,after,FALSE,71.4430014574182
BOL,after,FALSE,56.0520736882809
BOL,after,FALSE,77.9377825812065
BOL,after,FALSE,40.9201204634675
BOL,after,FALSE,65.5444730759273
BOL,after,FALSE,97.9792883757111
BOL,after,FALSE,51.4222106065324
BOL,after,FALSE,65.6230619969405
BOL,after,FALSE,39.1894840316692
BOL,after,FALSE,47.7412685944831
